Description,Address,Type,Class
Agilent Technologies E5072A,TCPIP0::192.168.3.95::inst0::INSTR,VNA,VNAInstCtrl
ETS Lindgren EMCenter,TCPIP0::192.168.2.150::inst0::INSTR,Chamber,SCPIInstrument
ETS Lindgren EMSlider,TCPIP::192.168.0.100::1206::SOCKET,Slider,EmCenterSlider
Hewlett-Packard E4433B,GPIB0::19::INSTR,Generator,SignalGeneratorInstCtrl
Keysight Technologies E36233A,TCPIP0::192.168.2.16::5025::SOCKET,PSU,PSUInstCtrl
Keysight Technologies N5232B,TCPIP0::192.168.1.161::inst0::INSTR,VNA,VNAInstCtrl
Keysight Technologies N9000B,TCPIP0::192.168.1.173::inst0::INSTR,Analyzer,SignalAnalyzerInstCtrl
Rohde & Schwarz SMW200A,TCPIP0::192.168.3.53::hislip0::INSTR,Generator,SignalGeneratorInstCtrl
Copper Mountain CMT808U,TCPIP0::127.0.0.1::5025::SOCKET,VNA,VNAInstCtrl
Keysight Technologies E36234A,TCPIP0::192.168.3.173::5025::SOCKET,PSU,PSUInstCtrl
Keysight Technologies N9000B,TCPIP0::192.168.3.70::inst0::INSTR,Analyzer,SignalAnalyzerInstCtrl
